Name	Amount	protein (g)	calories	dietary fiber (g)	Potassium	Phosphorus	Magnesium	Calcium	Sodium	Iron	Selenium (mcg)	Manganese	Copper	Zinc	Vitamin A (IU)	Vitamin B1	Vitamin B2	Niacin	Folate (mcg)	Pantothenic Acid	Vitamin B6	Vitamin C	Vitamin E	Vitamin K (mcg)
Apple 	(1 medium)	0.47	95	4.4	195	20	9	11	2	0.22	0	0.064	0.049	0.07	98	0.031	0.047	0.166	5	0.111	0.075	8.4	0.33	4
Avocado 	(1 medium)	4.02	322	13.5	975	105	58	24	14	1.11	0.8	0.285	0.382	1.29	293	0.135	0.261	3.493	163	2.792	0.517	20.1	4.16	42.2
Banana 	(1 medium)	1.29	105	3.1	422	26	32	6	1	0.31	1.2	0.319	0.092	0.18	76	0.037	0.086	0.785	24	0.394	0.433	10.3	0.12	0.6
Blackberries 	(1 cup)	2	62	7.6	233	32	29	42	1	0.89	0.6	0.93	0.238	0.76	308	0.029	0.037	0.93	36	0.397	0.043	30.2	1.68	28.5
Blackcurrant 	(1 cup)	1.57	71	0	361	66	27	62	2	1.72	0	0.287	0.096	0.3	258	0.056	0.056	0.336	0	0.446	0.074	202.7	1.12	0
Blueberries 	(1 cup)	1.1	84	3.6	114	18	9	9	1	0.41	0.1	0.497	0	0.24	217	0.055	0.061	0.08	9	0.184	0.077	14.4	2.29	28.6
Boysenberries 	(1 cup)	1.45	66	7	183	36	21	36	1	1.12	0.3	0.722	0.106	0.29	88	0.07	0.049	1.012	83	0.33	0.074	4.1	1.15	10.3
Breadfruit 	(1 cup)	2.35	227	10.8	1078	66	55	37	4	1.19	1.3	0.132	0.185	0.26	0	0.242	0.066	1.98	31	1.05	0.22	62.8	0.22	1.1
Cantaloupe 	(1 medium slice)	0.58	23	0.6	184	10	8	6	11	0.14	0.3	0.028	0.028	0.12	2334	0.028	0.013	0.506	14	0.072	0.05	25.3	0.03	1.7
Cherimoya 	(1 cup diced)	2.51	120	4.8	459	42	27	16	11	0.43	0	0.149	0.11	0.26	8	0.162	0.21	1.03	37	0.552	0.411	20.2	0.43	0
Cherries 	(1 cup)	1.46	87	2.9	306	29	15	18	0	0.5	0	0.097	0.083	0.1	88	0.037	0.046	0.213	6	0.275	0.068	9.7	0.1	2.9
Chinese pear 	(1)	1.38	116	9.9	333	30	22	11	0	0	0.3	0.165	0.138	0.06	0	0.025	0.028	0.602	22	0.193	0.06	10.4	0.33	12.4
Cranberries 	(1 cup)	0.39	46	4.6	85	13	6	8	2	0.25	0.1	0.36	0.061	0.1	60	0.012	0.02	0.101	1	0.295	0.057	13.3	1.2	5.1
Dates 	(1 cup pitted, chopped)	3.6	415	11.8	964	91	63	57	3	1.5	4.4	0.385	0.303	0.43	15	0.076	0.097	1.873	28	0.866	0.243	0.6	0.07	4
Figs 	(1 large)	0.48	47	1.9	148	9	11	22	1	0.24	0.1	0.082	0.045	0.1	91	0.038	0.032	0.256	4	0.192	0.072	1.3	0.07	3
Gooseberries 	(1 cup)	1.32	66	6.5	297	40	15	38	2	0.47	0.9	0.216	0.105	0.18	435	0.06	0.045	0.45	9	0.429	0.12	41.5	0.56	0
Grapefruit 	(1 cup sections)	1.45	74	2.5	320	18	18	28	0	0.21	0.7	0.028	0.108	0.16	2132	0.083	0.046	0.575	23	0.651	0.097	79.1	0.3	0
Grapes 	(1 cup)	1.09	104	1.4	288	30	11	15	3	0.54	0.2	0.107	0.192	0.11	100	0.104	0.106	0.284	3	0.076	0.13	16.3	0.29	22
Guava 	(1 cup)	4.21	112	8.9	688	66	36	30	3	0.43	1	0.247	0.38	0.38	1030	0.111	0.066	1.789	81	0.744	0.181	376.7	1.2	4.3
